Time     Altitude  Dwnrg Dst    Stage     Mass           TWR     Throt      AZ(cmd)     HOR AOA      Pitch   Vert AOA       Orbvel		   Incl       Ecctr
67.82       15.6518     7.75      1    1249306.8848    2.2564       100    120.339    0    50.1745    0       880.8329      31.8968    0.9908
68.36       15.8947     7.95      1    1244015.5029    2.269       100    120.3516    0    49.9029    0       888.4299      31.9568    0.9906
68.9       16.1397     8.16      1    1238717.4072    2.2832       100    120.3638    0    49.6339    0       896.1165      32.0168    0.9905
69.44       16.3868     8.37      1    1233410.6445    2.298       100    120.3758    0    49.3674    0       903.9028      32.0771    0.9903
69.98       16.6359     8.59      1    1228089.8438    2.313       100    120.3874    0    49.1034    0       911.8047      32.1376    0.9901
70.52       16.8873     8.81      1    1222748.9014    2.3294       100    120.3988    0    48.8416    0       919.8081      32.1983    0.99
71.06       17.1407     9.03      1    1217399.7803    2.345       100    120.4099    0    48.5825    0       927.8789      32.2589    0.9898
71.6       17.3963     9.26      1    1212050.9033    2.3612       100    120.4207    0    48.3262    0       936.0788      32.3198    0.9896
72.14       17.6541     9.49      1    1206678.5889    2.377       100    120.4313    0    48.0731    0       944.3592      32.3806    0.9894
72.68       17.9142     9.73      1    1201305.542    2.3924       100    120.4415    0    47.8222    0       952.7506      32.4416    0.9892
73.22       18.1764     9.97      1    1195922.3633    2.4073       100    120.4516    0    47.574    0       961.2008      32.5023    0.989
73.76       18.4409     10.21      1    1190545.2881    2.4221       100    120.4614    0    47.3285    0       969.7642      32.5632    0.9888
74.3       18.7077     10.46      1    1185157.1045    2.4356       100    120.471    0    47.0857    0       978.4188      32.624    0.9886
74.84       18.9767     10.71      1    1179758.9111    2.4506       100    120.4803    0    46.8449    0       987.2213      32.685    0.9884
75.38       19.2481     10.97      1    1174337.5244    2.4667       100    120.4894    0    46.607    0       996.0603      32.7457    0.9882
75.92       19.5217     11.23      1    1168941.2842    2.4801       100    120.4983    0    46.3716    0       1004.9971      32.8063    0.988
76.46       19.7977     11.49      1    1163530.2734    2.4957       100    120.507    0    46.1387    0       1014.0276      32.8669    0.9878
77       20.0761     11.76      1    1158125.8545    2.5065       100    120.5155    0    45.9079    0       1023.1064      32.9271    0.9875
77.54       20.3568     12.04      1    1152729.126    2.5182       100    120.5238    0    45.6796    0       1032.3442      32.9874    0.9873
78.08       20.6399     12.32      1    1147297.9736    2.5354       100    120.532    0    45.4543    0       1041.6936      33.0478    0.9871
78.62       20.9254     12.6      1    1141867.9199    2.5486       100    120.54    0    45.2315    0       1051.0521      33.1075    0.9868
79.16       21.2133     12.89      1    1136472.5342    2.5611       100    120.5478    0    45.0106    0       1060.4983      33.1671    0.9866
79.7       21.5036     13.18      1    1131066.04    2.575       100    120.5554    0    44.7921    0       1070.1088      33.2268    0.9863
80.24       21.7964     13.48      1    1125630.7373    2.5875       100    120.5629    0    44.5764    0       1079.7713      33.2861    0.9861
80.78       22.0916     13.78      1    1120223.5107    2.5981       100    120.5702    0    44.3631    0       1089.4504      33.3449    0.9858
81.32       22.3893     14.09      1    1114841.7969    2.6103       100    120.5774    0    44.1518    0       1099.1737      33.4031    0.9856
81.86       22.6894     14.4      1    1109487.793    2.6155       100    120.5844    0    43.9429    0       1108.903      33.4608    0.9853
82.4       22.992     14.71      1    1104163.9404    2.6169       100    120.5913    0    43.7359    0       1118.7109      33.5182    0.985
82.94       23.297     15.03      1    1098848.0225    2.6205       100    120.5981    0    43.5307    0       1128.5607      33.5751    0.9848
83.48       23.6043     15.36      1    1093556.1523    2.6229       100    120.6047    0    43.3271    0       1138.4426      33.6316    0.9845
84.02       23.9141     15.69      1    1088290.2832    2.627       100    120.6113    0    43.1253    0       1148.3558      33.6876    0.9842
84.56       24.2263     16.03      1    1083050.5371    2.6298       100    120.6177    0    42.9253    0       1158.3122      33.7431    0.9839
85.1       24.5409     16.37      1    1077828.6133    2.6334       100    120.624    0    42.727    0       1168.3401      33.7983    0.9836
85.64       24.8579     16.71      1    1072620.8496    2.6363       100    120.6302    0    42.5301    0       1178.3389      33.8527    0.9833
86.18       25.1772     17.06      1    1067468.0176    2.6356       100    120.6363    0    42.3344    0       1188.3351      33.9065    0.983
86.72       25.4989     17.42      1    1062345.8252    2.6358       100    120.6423    0    42.1407    0       1198.3922      33.96    0.9827
87.26       25.823     17.78      1    1057241.333    2.6338       100    120.6483    0    41.9489    0       1208.4473      34.0128    0.9824
87.8       26.1493     18.14      1    1052176.7578    2.6311       100    120.6541    0    41.758    0       1218.5354      34.0652    0.9821
88.34       26.478     18.51      1    1047132.5684    2.6329       100    120.6599    0    41.5682    0       1228.684      34.1172    0.9818
88.88       26.809     18.89      1    1042101.3184    2.6349       100    120.6657    0    41.3795    0       1238.8705      34.1687    0.9815
89.42       27.1422     19.27      1    1037097.9004    2.6353       100    120.6713    0    41.1926    0       1248.983      34.2194    0.9812
89.96       27.4777     19.65      1    1032165.8936    2.6314       100    120.6769    0    41.0073    0       1259.0568      34.2693    0.9809
90.5       27.8154     20.04      1    1027275.3906    2.6261       100    120.6823    0    40.8232    0       1269.1587      34.3187    0.9805
91.04       28.1554     20.44      1    1022415.8325    2.617       100    120.6877    0    40.6399    0       1279.2171      34.3674    0.9802
91.58       28.4974     20.84      1    1017607.4829    2.6075       100    120.6931    0    40.4576    0       1289.3143      34.4157    0.9799
92.12       28.8417     21.24      1    1012814.5142    2.6052       100    120.6984    0    40.2766    0       1299.4482      34.4636    0.9795
92.66       29.1881     21.66      1    1008049.9268    2.6012       100    120.7036    0    40.0964    0       1309.5629      34.5108    0.9792
93.2       29.5366     22.07      1    1003320.4956    2.5998       100    120.7088    0    39.9168    0       1319.7627      34.5579    0.9788
