alt,ve,vi
74.3782095,1418.174771,1805.133881
74.53344125,1419.935813,1807.058263
74.68840091,1421.702724,1808.987729
74.84308922,1423.473957,1810.921138
74.99750402,1425.251789,1812.860472
75.15164595,1427.033248,1814.80277
75.3055144,1428.819881,1816.749253
75.45911114,1430.612027,1818.700583
75.61243536,1432.407791,1820.654549
75.76548849,1434.208685,1822.613087
75.91826948,1436.014333,1824.575402
76.07077958,1437.822526,1826.539758
76.22301642,1439.636382,1828.509498
76.37497947,1441.452505,1830.480247
76.52667145,1443.274808,1832.456406
76.67809267,1445.101456,1834.43574
76.8292446,1446.933548,1836.420069
76.98012594,1448.769029,1838.406757
77.13073838,1450.609965,1840.398541
77.28107908,1452.455594,1842.394492
77.4311482,1454.303611,1844.392402
77.58094416,1456.157336,1846.395123
77.73046867,1458.014831,1848.400894
77.87972154,1459.877407,1850.4108
78.02870409,1461.744862,1852.425036
78.17741556,1463.617349,1854.44339
78.32585703,1465.494869,1856.466274
78.4740274,1467.377187,1858.493161
78.62192754,1469.264434,1860.524464
78.76955533,1471.156719,1862.560516
78.91691048,1473.052807,1864.59911
79.06399625,1474.953211,1866.641265
79.21081278,1476.856616,1868.685279
79.35736194,1478.765016,1870.733898
79.50364127,1480.677059,1872.785539
79.6496511,1482.592944,1874.840652
79.79538956,1484.514302,1876.90056
79.94085774,1486.441189,1878.96541
80.08605458,1488.372218,1881.033585
80.23098169,1490.308637,1883.106529
80.37563859,1492.249349,1885.182852
80.52002663,1494.194017,1887.26267
80.66414448,1496.142797,1889.345806
80.80799333,1498.096356,1891.433227
80.95157073,1500.054401,1893.524868
81.09487692,1502.01646,1895.61938
81.23791418,1503.983885,1897.71857
81.38068272,1505.954637,1899.820147
81.5231837,1507.930815,1901.926693
81.66541663,1509.911114,1904.036287
81.80738368,1511.896284,1906.150428
81.94908186,1513.887143,1908.269833
82.09051084,1515.882915,1910.393807
82.2316693,1517.881759,1912.520089
82.37255852,1519.884149,1914.649281
82.51317828,1521.889731,1916.780821
82.65353,1523.90054,1918.917065
82.79361294,1525.914999,1921.056189
82.93342802,1527.93452,1923.19993
83.07297404,1529.957603,1925.346512
83.21225199,1531.986174,1927.498108
83.35125987,1534.020824,1929.655519
83.48999764,1536.059303,1931.815673
83.62846803,1538.102194,1933.97957
83.76667146,1540.149017,1936.146389
83.90460972,1542.200169,1938.317222
84.04228051,1544.256874,1940.492942
84.17968467,1546.316676,1942.671459
84.31681984,1548.381478,1944.854426
84.45368681,1550.450292,1947.040928
84.59028469,1552.522838,1949.230384
84.72661499,1554.599503,1951.423434
84.86267704,1556.681415,1953.620945
84.99847248,1558.767535,1955.822222
85.13399999,1560.857537,1958.026652
85.26926093,1562.951889,1960.234992
85.40425297,1565.052006,1962.448838
85.53897595,1567.154699,1964.664291
85.67343259,1569.260876,1966.882626
85.80762257,1571.37109,1969.104168
85.94154723,1573.486649,1971.330652
86.07520607,1575.605805,1973.55984
86.20860112,1577.730871,1975.794641
86.34172909,1579.861196,1978.034339
86.47458986,1581.997348,1980.279536
86.60718215,1584.137549,1982.528083
86.73950775,1586.281959,1984.780248
86.87156668,1588.430376,1987.035638
87.00336038,1590.58351,1989.295292
87.13488783,1592.738929,1991.556617
87.26614981,1594.899328,1993.822525
87.39714382,1597.063527,1996.092037
87.52786967,1599.231006,1998.363885
87.65833035,1601.403702,2000.640345
87.78852566,1603.580277,2002.919931
87.91845703,1605.762346,2005.204643
88.04812335,1607.946494,2007.490617
88.17752667,1610.136212,2009.781862
88.30666418,1612.330219,2012.077009
88.43553575,1614.529399,2014.377014
88.56414008,1616.73258,2016.680362
88.69247889,1618.939492,2018.98694
88.82055177,1621.150253,2021.296644
88.94836048,1623.366301,2023.611208
89.07590381,1625.586917,2025.929731
89.20318292,1627.813073,2028.253412
89.33019678,1630.043254,2030.580452
89.45694676,1632.278005,2032.911692
89.58343033,1634.517806,2035.247783
89.70964721,1636.760376,2037.585793
89.83560007,1639.006744,2039.927078
89.9612894,1641.255199,2042.269586
90.08671709,1643.508776,2044.61691
90.21188085,1645.765558,2046.966961
90.33678128,1648.026828,2049.321235
90.46141586,1650.293614,2051.680582
90.58578578,1652.566073,2054.045155
90.70989018,1654.842459,2056.413023
90.83373089,1657.12298,2058.784574
90.95730718,1659.40656,2061.158575
91.08062042,1661.695013,2063.537077
91.20366932,1663.988118,2065.919664
91.32645478,1666.28384,2068.304538
91.44897457,1668.585357,2070.694955
91.57122898,1670.890639,2073.088286
91.69322107,1673.200099,2075.485284
91.81495065,1675.51419,2077.886242
91.9364189,1677.832492,2080.291114
92.0576251,1680.154623,2082.69908
92.17857118,1682.481511,2085.111553
92.299254,1684.813135,2087.528463
92.41967341,1687.14948,2089.949812
92.53982806,1689.489515,2092.374292
92.65971982,1691.83338,2094.802137
92.77934831,1694.181059,2097.233202
92.89871484,1696.533123,2099.6683
93.01781864,1698.890508,2102.108144
93.13666069,1701.252036,2104.551797
93.2552387,1703.617726,2106.999439
93.37355239,1705.985849,2109.448755
93.49160477,1708.358678,2111.902292
93.60939571,1710.735131,2114.358843
93.7269263,1713.115803,2116.819319
93.84419603,1715.500442,2119.282995
93.9612078,1717.890254,2121.751627
94.07795762,1720.284864,2124.224881
94.19444423,1722.683875,2126.702332
94.31066656,1725.08761,2129.183951
94.42662636,1727.493944,2131.667727
94.5423234,1729.902606,2134.153255
94.65775937,1732.315786,2136.642921
94.77293389,1734.732655,2139.135686
94.88784822,1737.153301,2141.631959
